ID,Language_ID,English_Gloss,Form,Comment,Source,Page
qaqe1238-1-0001,qaqe1238-1,(his) hair,kʌsiŋ,,Lindrud1980,178
qaqe1238-1-0002,qaqe1238-1,(his) head,amʌ niŋʌǥi,,Lindrud1980,178
qaqe1238-1-0003,qaqe1238-1,(his) mouth,ʌ ƀɛmɡi,,Lindrud1980,178
qaqe1238-1-0004,qaqe1238-1,(his) nose,ʌ ǥulimɡi,,Lindrud1980,178
qaqe1238-1-0005,qaqe1238-1,(his) eye,ʌ̂ sʌǥon,,Lindrud1980,178
qaqe1238-1-0006,qaqe1238-1,(his) neck,ʌ ɛɡoinɡi,,Lindrud1980,178
qaqe1238-1-0007,qaqe1238-1,(his) belly,ʌ sər̃mɡi,,Lindrud1980,178
qaqe1238-1-0008,qaqe1238-1,(his) skin,ʌ sliyiɡɛ,,Lindrud1980,178
qaqe1238-1-0009,qaqe1238-1,(his) knee,ʌ ǥumɡi,,Lindrud1980,178
qaqe1238-1-0010,qaqe1238-1,man,ɡʌmuɛɡʌ,,Lindrud1980,178
qaqe1238-1-0011,qaqe1238-1,woman,ɛwəpki,,Lindrud1980,178
qaqe1238-1-0012,qaqe1238-1,bird,ɛɛsumɡa,,Lindrud1980,178
qaqe1238-1-0013,qaqe1238-1,dog,mɛmɡʌ,,Lindrud1980,178
qaqe1238-1-0014,qaqe1238-1,he bites,mɛmɡʌ kʌ tᵊsʌmʌ ruɡʌ,,Lindrud1980,178
qaqe1238-1-0015,qaqe1238-1,he sits,niʌt muɡun,,Lindrud1980,178
qaqe1238-1-0016,qaqe1238-1,he stands,kʌt maiř,,Lindrud1980,178
qaqe1238-1-0017,qaqe1238-1,he lies,kʌt nʌmʌs,,Lindrud1980,178
qaqe1238-1-0018,qaqe1238-1,he walks,kʌ tit,,Lindrud1980,178
qaqe1238-1-0019,qaqe1238-1,road (path),mʌiskʌ,,Lindrud1980,178
qaqe1238-1-0020,qaqe1238-1,stone,mʌ dui,,Lindrud1980,178
qaqe1238-1-0021,qaqe1238-1,big,mořo,,Lindrud1980,178
qaqe1238-1-0022,qaqe1238-1,small,ɡaini,,Lindrud1980,178
qaqe1238-1-0023,qaqe1238-1,fire,mundʌm,,Lindrud1980,178
qaqe1238-1-0024,qaqe1238-1,smoke,butbutki,,Lindrud1980,178
qaqe1238-1-0025,qaqe1238-1,ashes,řʌ̌ptəpkʌ,,Lindrud1980,178
qaqe1238-1-0026,qaqe1238-1,(his) ear,dʌsdəmɡi,,Lindrud1980,178
qaqe1238-1-0027,qaqe1238-1,(his) tongue,duɛbinɡʌ,,Lindrud1980,178
qaqe1238-1-0028,qaqe1238-1,(his) tooth,naeyɛŋ,,Lindrud1980,178
qaqe1238-1-0029,qaqe1238-1,(her) breast,at ɡɛmuk,,Lindrud1980,178
qaqe1238-1-0030,qaqe1238-1,(his) hand,ařit̯,,Lindrud1980,178
qaqe1238-1-0031,qaqe1238-1,(his) foot,ʌɡʌřʌ,,Lindrud1980,178
qaqe1238-1-0032,qaqe1238-1,sun,wunʌɡʌ,,Lindrud1980,178
qaqe1238-1-0033,qaqe1238-1,moon,yʌǥunɡi,,Lindrud1980,178
qaqe1238-1-0034,qaqe1238-1,star,ǥořʌiŋɡʌ,,Lindrud1980,178
qaqe1238-1-0035,qaqe1238-1,cloud,məřailɛɡᵊs,,Lindrud1980,178
qaqe1238-1-0036,qaqe1238-1,rain,suiiɡi,,Lindrud1980,178
qaqe1238-1-0037,qaqe1238-1,water,mʌřiŋɡi,,Lindrud1980,178
