ID,Language_ID,English_Gloss,Form,Comment,Source,Page
sout2876-1-0001,sout2876-1,nose (his),ina,,Rath1980,201
sout2876-1-0002,sout2876-1,eye (his),matana,,Rath1980,201
sout2876-1-0003,sout2876-1,neck (his),ŋɡana,,Rath1980,201
sout2876-1-0004,sout2876-1,road,ɡue (pamao),,Rath1980,201
sout2876-1-0005,sout2876-1,tooth (his),ŋiŋina,,Rath1980,201
sout2876-1-0006,sout2876-1,louse,kutu,,Rath1980,201
sout2876-1-0007,sout2876-1,mouth (his),kɔna,,Rath1980,201
sout2876-1-0008,sout2876-1,man,apanuŋ,,Rath1980,201
sout2876-1-0009,sout2876-1,stomach,siana,,Rath1980,201
sout2876-1-0010,sout2876-1,ear,loŋana,,Rath1980,201
nort2855-1-0001,nort2855-1,nose (his),inƀonta,,Rath1980,201
nort2855-1-0002,nort2855-1,eye (his),mɛtaŋkanta,,Rath1980,201
nort2855-1-0003,nort2855-1,neck (his),ǥanta,,Rath1980,201
nort2855-1-0004,nort2855-1,road,ɡweata,,Rath1980,201
nort2855-1-0005,nort2855-1,tooth (his),ŋiŋin,,Rath1980,201
nort2855-1-0006,nort2855-1,louse,iǥɛta,,Rath1980,201
nort2855-1-0007,nort2855-1,mouth (his),kaunta,,Rath1980,201
nort2855-1-0008,nort2855-1,man,apanuŋ,,Rath1980,201
nort2855-1-0009,nort2855-1,stomach,sianta,,Rath1980,201
nort2855-1-0010,nort2855-1,ear,loŋanta,,Rath1980,201
bush1249-1-0001,bush1249-1,nose (his),ina,,Rath1980,201
bush1249-1-0002,bush1249-1,eye (his),matana,,Rath1980,201
bush1249-1-0003,bush1249-1,neck (his),ɡana,,Rath1980,201
bush1249-1-0004,bush1249-1,road,ɡue,,Rath1980,201
bush1249-1-0005,bush1249-1,tooth (his),ŋiŋina,,Rath1980,201
bush1249-1-0006,bush1249-1,louse,kutu,,Rath1980,201
bush1249-1-0007,bush1249-1,mouth (his),kɔna,,Rath1980,201
bush1249-1-0008,bush1249-1,man,apanuŋa,,Rath1980,201
bush1249-1-0009,bush1249-1,stomach,sana,,Rath1980,201
bush1249-1-0010,bush1249-1,ear,loŋana,,Rath1980,201
nucl1511-1-0001,nucl1511-1,nose (his),inona,,Rath1980,201
nucl1511-1-0002,nucl1511-1,eye (his),matana,,Rath1980,201
nucl1511-1-0003,nucl1511-1,neck (his),kanabona,,Rath1980,201
nucl1511-1-0004,nucl1511-1,road,kula,,Rath1980,201
nucl1511-1-0005,nucl1511-1,tooth (his),iŋina,,Rath1980,201
nucl1511-1-0006,nucl1511-1,louse,kutu,,Rath1980,201
nucl1511-1-0007,nucl1511-1,mouth (his),konona,,Rath1980,201
nucl1511-1-0008,nucl1511-1,man,kemana,,Rath1980,201
nucl1511-1-0009,nucl1511-1,stomach,sara,,Rath1980,201
nucl1511-1-0010,nucl1511-1,ear,loŋara,,Rath1980,201
lote1237-1-0001,lote1237-1,nose (his),ina,,Rath1980,201
lote1237-1-0002,lote1237-1,eye (his),matana,,Rath1980,201
lote1237-1-0003,lote1237-1,neck (his),kana,,Rath1980,201
lote1237-1-0004,lote1237-1,road,kue,,Rath1980,201
lote1237-1-0005,lote1237-1,tooth (his),ŋiŋina,,Rath1980,201
lote1237-1-0006,lote1237-1,louse,ut,,Rath1980,201
lote1237-1-0007,lote1237-1,mouth (his),ana,,Rath1980,201
lote1237-1-0008,lote1237-1,man,ana,,Rath1980,201
lote1237-1-0009,lote1237-1,stomach,sana,,Rath1980,201
lote1237-1-0010,lote1237-1,ear,talŋana,,Rath1980,201
tomo1244-7-0001,tomo1244-7,nose (his),blarun,,Rath1980,201
tomo1244-7-0002,tomo1244-7,eye (his),ŋɔmtan,,Rath1980,201
tomo1244-7-0003,tomo1244-7,neck (his),bɛlkwan,,Rath1980,201
tomo1244-7-0004,tomo1244-7,road,n̩sal,,Rath1980,201
tomo1244-7-0005,tomo1244-7,tooth (his),dælyɛn,,Rath1980,201
