ID,Language,English_Gloss,Form,Comment,Source,Page
tomo1244-4-0001,tomo1244-4,glowing coal,ˈwolalaŋ,presented in brackets as a phonetic transcription; unclear whether this is the Tomoip pronunciation of a Sulka word,Reesink2005,151
tomo1244-4-0002,tomo1244-4,betel nut,bu,,Reesink2005,154
tomo1244-4-0003,tomo1244-4,SG-betel nut (= fruit),m-bu,,Reesink2005,154
tomo1244-4-0004,tomo1244-4,QM-betel nut (= tree),ka-bu,,Reesink2005,154
tomo1244-4-0005,tomo1244-4,PL-betelnut (fruit or tree),e-bu,,Reesink2005,154
tomo1244-4-0006,tomo1244-4,pig,buo,,Reesink2005,154
tomo1244-4-0007,tomo1244-4,SG-pig,m-buo,,Reesink2005,154
tomo1244-4-0008,tomo1244-4,dog,pap,,Reesink2005,154
tomo1244-4-0009,tomo1244-4,"lesser yam, Dioscorea esculenta",misa,,Reesink2005,155
tomo1244-4-0010,tomo1244-4,"SG [lesser yam, Dioscorea esculenta]",bung-misa,,Reesink2005,155
tomo1244-4-0011,tomo1244-4,"PL [lesser yam, Dioscorea esculenta]",e-misa,,Reesink2005,155
tomo1244-4-0012,tomo1244-4,"aerial yam, Dioscorea Bulbifera",homi,,Reesink2005,155
tomo1244-4-0013,tomo1244-4,"[SG] aerial yam, Dioscorea Bulbifera",bung-homi,,Reesink2005,155
tomo1244-4-0014,tomo1244-4,canarium almond,kangali,/ka-ŋali/ (?),Reesink2005,155
tomo1244-4-0015,tomo1244-4,[SG] canarium almond,bung-kangali,,Reesink2005,155
tomo1244-4-0016,tomo1244-4,SG [QM],bung-,"quantity marker, with <misa> 'lesser yam', <homi> 'aerial yam', <kangali> 'canarium almond'",Reesink2005,155
tomo1244-4-0017,tomo1244-4,pandanus,para,,Reesink2005,155
tomo1244-4-0018,tomo1244-4,dugout canoe,mon ,,Reesink2005,155
tomo1244-4-0019,tomo1244-4,and; and (then) (clausal),mo ,,Reesink2005,162
tomo1244-4-0020,tomo1244-4,three ('two and one'),horo mo dinan,,Reesink2005,162
tomo1244-4-0021,tomo1244-4,two,horo,,Reesink2005,162
tomo1244-4-0022,tomo1244-4,one,dinan,,Reesink2005,162
tomo1244-4-0023,tomo1244-4,laugh,nging,,Reesink2005,164
tomo1244-4-0024,tomo1244-4,PREP,o,preposition; glossed in the example sentence as 'because of',Reesink2005,164
tomo1244-4-0025,tomo1244-4,CAUS,wa-,causative prefix,Reesink2005,164
tomo1244-4-0026,tomo1244-4,REFL,buop,reflexive marker; pronounced [buəp]; also used for reciprocol relations (p. 167),Reesink2005,166
tomo1244-4-0027,tomo1244-4,cut,nebua,,Reesink2005,166
tomo1244-4-0028,tomo1244-4,stab,kon,,Reesink2005,167
tomo1244-4-0029,tomo1244-4,1SG free pronoun,yo,"cf. pp. 164, 166",Reesink2005,169
tomo1244-4-0030,tomo1244-4,2SG free pronoun,ike,,Reesink2005,169
tomo1244-4-0031,tomo1244-4,3SG/3PL free pronoun,ti,"cf. pp. 164, 167",Reesink2005,169
tomo1244-4-0032,tomo1244-4,1PL.INCL free pronoun,kusier,,Reesink2005,169
tomo1244-4-0033,tomo1244-4,1PL.EXCL free pronoun,ikëm,cf. p. 164: <kem> '1EXCL',Reesink2005,169
tomo1244-4-0034,tomo1244-4,2PL free pronoun,ikom,,Reesink2005,169
tomo1244-4-0035,tomo1244-4,1DU.INCL free pronoun,kuta,,Reesink2005,169
tomo1244-4-0036,tomo1244-4,1DU.EXCL free pronoun,ika,,Reesink2005,169
tomo1244-4-0037,tomo1244-4,2DU free pronoun,ikuma,,Reesink2005,169
tomo1244-4-0038,tomo1244-4,3DU free pronoun,toro,,Reesink2005,169
tomo1244-4-0039,tomo1244-4,1SG.POSS,-ing,,Reesink2005,169
tomo1244-4-0040,tomo1244-4,2SG.POSS,-ke ~ -ki,,Reesink2005,169
tomo1244-4-0041,tomo1244-4,3SG.POSS,-on,,Reesink2005,169
tomo1244-4-0042,tomo1244-4,1PL.INCL.POSS,-sier,,Reesink2005,169
tomo1244-4-0043,tomo1244-4,1PL.EXCL.POSS,-këm,,Reesink2005,169
tomo1244-4-0044,tomo1244-4,2PL.POSS,-kom,,Reesink2005,169
tomo1244-4-0045,tomo1244-4,3DU/PL.POSS,-ti,,Reesink2005,169
tomo1244-4-0046,tomo1244-4,1DU.INCL.POSS,-ta,,Reesink2005,169
tomo1244-4-0047,tomo1244-4,1DU.EXCL.POSS,-ka,,Reesink2005,169
tomo1244-4-0048,tomo1244-4,2DU.POSS,-kuma,,Reesink2005,169
tomo1244-4-0049,tomo1244-4,NON2/3SG.REAL subject proclitic,ta-,"cf. pp. 164, 166, 167",Reesink2005,169
